	Narracja
48	W wymiarze Duskmourn rozciąga się opuszczony park rozrywki — brudnoczerwone namioty cyrkowe o postrzępionych płótnach oddychają bez wiatru, a w głębi zardzewiałe torowiska roller coastera urywają się nagle w pustce. Karuzela z drewnianymi końmi o wymalowanych grymasach obraca się sama w hipnotycznym zbyt wolnym tempie, podczas gdy diabelski młyn skrzypi pod wiatrem, którego nie ma. W powietrzu krążą bezcielesne smugi w kształcie uśmiechniętych twarzy — echa śmiechu tych, którzy weszli i nigdy nie wyszli. Niebo koloru brudnej pomarańczy nie przechodzi w noc ani nie wraca do dnia — Duskmourn zaprasza łagodnie, a łatwiej tu wejść niż znaleźć wyjście.
49	Na niestabilnym pograniczu między Jund a Grixis na Alarze ziemia się wypiętrza, pęka i miesza w surrealistyczny sposób — pomarańczowa lawa z lewej wlewa się w fioletowoszare mokradła z prawej, tworząc kłęby neutralnej pary. Po wulkanicznej stronie, na skale porośniętej prehistoryczną roślinnością, siedzi mały zdezorientowany goblin, który z wielkim zdziwieniem obserwuje przez parę powolną sylwetkę wędrującego we mgle nieumarłego. Żadne z nich nie atakuje — oboje dopiero oswajają się z faktem, że ich światy już się nie kończą tam, gdzie kończyły się wczoraj. W epoce Conflux Alara jest układanką niepasujących do siebie fragmentów, a pierwszym aktem każdego mieszkańca jest gapienie się w rzeczywistość, która nie powinna istnieć.
50	We wnętrzu starego drewnianego dworu Innistradu długi korytarz wyłożony rzeźbionymi biblioteczkami skręca się wokół własnej osi niczym iluzja optyczna. W centrum stoi zdezorientowana młoda kobieta w białej koszuli nocnej, trzymająca zgaszony mosiężny kandelabr, gdy z wykrzywionych półek spadają ciężkie księgi i zwoje. Zanim dotkną podłogi, rozpuszczają się w niebieskawoszarą magiczną mgłę, która pełza po deskach i formuje się w zarysy upiornych nagrobków. Na Innistradzie sen nie jest odpoczynkiem, lecz przestrzenią, w której architektura zapomina swoich obowiązków wobec praw fizyki.
51	W sercu pradawnej puszczy Śródziemia — może Mrocznej Puszczy, może Taur-nu-Fuin — wysoki, wąskooki elf w kapturze opiera dłoń na omszałym pniu drzewa, a z punktu kontaktu rozchodzi się sieć szmaragdowych żyłek pulsująca pod korą. Druga dłoń ściska prostą laskę bojową opartą o ramię — to strażnik, który nigdy nie opuszcza warty. Wokół niego drzewa zwisają grubymi gałęziami, a między pniami widoczne są ledwo zarysowane sylwetki innych leśnych istot, których obecność wzmacnia jego wiedzę. Nie lubi gości, bo nie musi — ten las zna jego, a on zna ten las, i oboje są zgodni co do tego, kto tu nie pasuje.
52	W granatowej mgle nocnego lasu Kontynentu, oparty o pień starego drzewa, głęboko śpi siwy rzemieślnik w skórzanym płaszczu. Tuż nad jego czołem unosi się sylfida — mała blada wróżka o czworgu czarnych oczu i cienkich przezroczystych skrzydłach — trzymając otwarte dłonie kilkanaście centymetrów nad jego głową. Między jej dłońmi kłąb błękitnego świetlistego pyłu formuje się w trójwymiarowy zarys małego mechanicznego ptaka — wspomnienie wyjęte ze snu. Na jej szyi cienki rzemyk z wcześniejszą zdobyczą — zmatowiałą starożytną monetą. Wróżki wiedźmińskich lasów zbierają nie to, co cenne, lecz to, co potrafią unieść w pamięci.
53	W krystalicznych głębiach gazowego giganta Uthros przesuwa się cicho agent gatunku Illvoi — meduzowaty humanoid o kopulastej półprzezroczystej głowie w odcieniach lodowego turkusu i kobaltu. W jednej z cieńszych macek dzierży zakrzywione ostrze uformowane cloudsculptingiem z supergęstych gazów, w drugiej przytrzymuje krystaliczny pojemnik z danymi. Reszta macek unosi się za nim w płynnym bezgłośnym ruchu, a sylwetka zlewa się z lodowymi ścianami jaskini pokrytej zamrożonymi gazami i bladą bioluminescencją. W głębokiej infiltracji Kombinatu Uthros nie liczy się siła, lecz to, kto pierwszy zobaczy — a Illvoi widzą wszystko, czego nie słychać.
54	W gęstych, zniekształconych duchową anomalią ostępach lasu Jukai na planie Kamigawa nawet najbardziej zaawansowana technologia zawodzi w starciu z nieznanym. Samotna elficka zwiadowczyni wyłania się ze spowitych mgłą zarośli, kurczowo ściskając w dłoniach pęknięty rejestrator o ekranie migoczącym cyfrowym szumem. Choć zapisany materiał został bezpowrotnie uszkodzony przez silną interferencję z mrocznymi kami, niezrównany instynkt przetrwania pozwolił kobiecie bezpiecznie powrócić na skraj metropolii Towashi. Za bezpiecznymi murami rozświetlonego neonami posterunku ocalała z ulgą odzyskuje spokój i siły, zachowując sekrety puszczy wyłącznie dla siebie.
55	W mrocznej, opuszczonej komnacie na pograniczu fragmentów Alary unosi się nad kamiennym postumentem pojedyncza strona wykuta z eteriumu, obracająca się powoli wokół własnej osi. Na jej metalicznej powierzchni walczą o dominację trzy odrębne wzory run — ciepłe białozłote spirale uzdrowienia, chłodne bladoniebieskie diagramy wglądu oraz ciemnofioletowe drapieżne glify sączące się czernią po krawędziach. Trzy kolory many Esper przeplatają się i nakładają, ale nigdy nie mieszają — w każdej chwili jeden wysuwa się na przód, a pozostałe cofają. Komnata wokół nosi cechy trzech światów: gładki kryształ Esper, złote winorośla Bant, spękane kamienie Grixis — a luźna strona jest pytaniem, na które hegemon jeszcze nie znalazł odpowiedzi.
56	W żebrowanym metalowym korytarzu granicznej placówki Evendo stoją naprzeciw siebie dwie postacie rozdzielone półprzezroczystą zieloną barierą kontroli dostępu. Po lewej masywny Kav w ciężkim górniczym pancerzu miedziano-stalowym, wokół którego świeci krótka zielona aura dodatkowej czujności. Po prawej smukły Eumidianin o owadzich cechach, trzymający laskę z kryształowym zakończeniem, a w chwili kontaktu z zieloną smugą przechodzącą przez barierę jego chitynowe segmenty zatrzaskują się na moment w unieruchomieniu. Na ścianie dyskretnie świeci panel DIPLOMATIC CHANNEL — na The Edge dyplomacja to głównie kwestia tego, kto kogo zamknie w polu bezpieczeństwa pierwszy.
57	Nad dachami Ravnicy o zachodzie słońca unosi się spiralna kolumna zamaskowanych postaci, każda całkowicie okryta wyblakłymi szatami, spod których nie widać ani twarzy, ani dłoni. Najniższa dopiero odrywa stopy od kamiennego gzymsu gotyckiej wieży, środkowe lecą już swobodnie z tkaniną rozciągniętą w kształt ptasich skrzydeł, a najwyższa zlewa się ze złotą poświatą nieba. Na dachach poniżej, w cieniach kominów, czekają kolejne zasłonięte sylwetki otoczone subtelną złotawobiałą aurą — jeszcze przywiązane do ziemi, ale już obietnice przyszłego wzniesienia. Na Ravnicy niektóre zakony wierzą, że zasłona nie więzi, lecz wyzwala, a tożsamość jest największą kotwicą — jeśli ją zdjąć, można wreszcie polecieć.
58	Na szerokich, oświetlonych neonami alejach dzielnicy Mezzio na planie New Capenna rodziny przestępcze toczą bezwzględną walkę o kontrolę nad dostawami substancji Halo. Masywny, opancerzony wóz bojowy ze stali i polerowanego mosiądzu z rykiem potężnego silnika zajeżdża na skrzyżowanie, blokując cały ruch uliczny. Z opuszczonej z sykiem pneumatycznej rampy natychmiast wyskakują uzbrojeni egzekutorzy w prążkowanych garniturach, gotowi do błyskawicznego wsparcia swoich ludzi na linii frontu. Ta mobilna twierdza na kołach pozwala syndykatowi w ułamku sekundy przegrupować siły i zdominować każdy rejon metropolii.
59	W kolumnowej sali Wieży Modlitw w Mysidii stoi Starszy — dostojny siwobrody mężczyzna w głębokoczerwonych szatach ze złotymi ornamentami — z dłonią uniesioną w geście prezentacji, na której tańczy niewielki kontrolowany płomień. Pół kroku za nim, w cieniu, nieruchomo czeka czarny mag Mysidii w spiczastym kapeluszu, jego twarz zakryta, spod czarnej otchłani widać tylko dwie świecące żółte źrenice. Między nimi a obserwatorem rozpościera się kołowy symbol Mysidii wyryty w posadzce, a za kolumnami obserwują bez słowa biali i czarni magowie miasta. W świecie, który utracił Kryształy, próba rzucana jest nie mieczem, lecz ogniem — a czarny mag odpowie na każde zaklęcie, które nie spełni standardu.
60	W nieprzebytych, niebezpiecznych ostępach Dziczy na planie Eldraine gęste sploty drapieżnych cierni skrywają nieliczne oazy absolutnego spokoju. Spomiędzy gigantycznych, kwitnących różaneczników i omszałych skał wypływa z potężnym szumem krystaliczny wodospad, zasilający szmaragdowe leśne rozlewisko. Każda kropla spienionej, nasyconej pierwotną magią wody niesie w sobie uzdrawiającą moc, przynosząc natychmiastowe ukojenie i nowe siły wyczerpanym wędrowcom. Ten uświęcony zakątek natury pozostaje bezpiecznym azylem pośród nieokiełznanej puszczy, łącząc surową potęgę ciernistego lasu z życiodajną czystością górskich strumieni.
61	Na torze wieloplanarnego Aetherdriftu rydwan-glider o jaskrawoczerwonej karoserii zostaje trafiony falą lodowobłękitnej energii krystalizacyjnej, która rozpryskuje się w eksplozję kryształowych struktur. Błękitne kryształy błyskawicznie porastają silnik, blokują mechanizmy sterowe i pokrywają koła grubą lśniącą skorupą, zamrażając pojazd w pół-ruchu, przechylony, jedna strona jeszcze uniesiona od prędkości. W kokpicie demoniczny pilot o czerwonawej skórze i małych rogach zaciska dłonie na sterach z wyrazem szoku, gdy kryształy pełzną po jego ramionach. Za nim w rozmyciu prędkości pędzą rywale omijający katastrofę — w wyścigach Kaladesh pierwsze miejsce nic nie znaczy, jeśli czas twojego pojazdu został zatrzymany.
62	Na mokrej leśnej ściółce Innistradu leży potężna kreatura o rozłożystych skórzastych skrzydłach, gęsto oplecionych grubymi zielonymi pnączami i zdrewniałymi gałęziami wyrastającymi wprost z podłoża. Skrzydła są dociśnięte płasko do warstwy mchu i ciemnego błota, unieruchomione przez liczne sploty roślinności, które zacisnęły się szybciej, niż bestia zdołała się odepchnąć od ziemi. W tle czarne pnie drzew niknące w jasnej mgle, a na pierwszym planie opadłe liście i detale splątanych korzeni trzymających lotnika przy gruncie. Gdy Ulvenwald się budzi, nawet skrzydlaci stają się piechotą — i nie ma powrotu w powietrze, nim sam las nie odda swojej zgody.
63	Na dymiących, siarkowych graniach Gór Sokenzan na planie Kamigawa gobliny akki regularnie składają daniny potężnym smokom zrodzonym z ognia. Dwaj zwiadowcy o twardych skorupach na plecach ostrożnie skradają się wzdłuż urwiska, niosąc skromny dar w nadziei na ubłaganie skrzydlatego bóstwa. Gdy potężny, łuskowaty szpon kolosa z hukiem opada na sąsiednią skałę, obaj mali wędrowcy zamierają w paraliżującym przerażeniu pośród wirujących iskier. Zgodnie z tradycją ich plemienia, gobliny zawsze wyruszają w takie misje parami, by przynajmniej jeden świadek mógł opowiedzieć współplemieńcom o tragicznym losie swojego towarzysza.
64	Wysoko ponad pustynnymi kanionami Tarkiru wojownicy klanu Dromoki doświadczają najwspanialszego daru swoich smoczych władców. Nasycony słonecznym tchnieniem piechur z pełną prędkością szarżuje po zawieszonych w powietrzu, krystalicznych stopniach ze skondensowanego światła. Każde stąpnięcie po świetlistej ścieżce wyzwala złocisty blask, nasycając pancerz wojownika energią pozwalającą toczyć walkę na równi ze skrzydlatymi drapieżnikami. Jak z dumą powtarza wojownik Urdnan, dzięki łasce Dromoki ludzie zyskują podniebną wolność bez konieczności posiadania własnych skrzydeł.
65	We wnętrzu wielopoziomowej biblioteki Strixhaven na Arcavios, na wąskim kamiennym balkonie, uczony w wielowarstwowych szatach ze srebrnym haftem stoi nad rzeźbionym pulpitem. W słupie błękitnego światła wpadającym przez witraż lewitują dwa masywne skórzane tomy — jeden spowity czarną dymną energią zostaje gestem zepchnięty w ciemność między regałami, drugi otwiera się gwałtownie ku twarzy maga z intensywnym błękitnym blaskiem. Wokół wirują drobinki kurzu, wyrwane kartki z formułami i atramentowe smugi układające się w skomplikowane diagramy. Na Arcavios nauka polega na wyborze, która wiedza wraca do ciebie, a która ma zostać pogrzebana — a studenci Strixhaven ten wybór robią codziennie przed śniadaniem.
66	W parnych, nadrzecznych dżunglach terytorium klanu Sultai na planie Tarkir stada wielkich mandryli bezwzględnie strzegą leśnych traktów przed intruzami. Potężny samiec alfa o jaskrawoczerwonym pysku i potężnych kłach z łatwością rozbija kamienne schody zrujnowanej świątyni, ruszając do niszczycielskiej szarży. Ozdobione zrabowanymi sułtańskimi brązami i nefrytem bestie z ogłuszającym wrzaskiem przedzierają się przez gąszcz pnączy, taranując każdą przeszkodę na swojej drodze. Dla nieostrożnych wędrowców zapuszczających się w głąb tego bezlitosnego królestwa spotkanie z tutejszymi drapieżnikami stanowi krótki i ostateczny wyrok.
67	W industrialnym korytarzu reaktora Mako nr 1 w Midgar stoi bojowy robot-skorpion wielkości samochodu dostawczego, sześć mechanicznych nóg wbitych w metalową posadzkę. Jego segmentowy ogon z cylindryczną lufą laserową jest uniesiony nad grzbietem, a wokół niej tańczą błękitne wyładowania elektryczne gromadzące się w coraz jaśniejszy punkt na końcu lufy. W centralnych soczewkach torsu świecą czerwone sensory skanujące otoczenie, a pod kratownicami podłogi pulsuje zielonkawy blask Mako. Shinra zbudował go po to, by bronił serca planety przed samymi ludźmi — w tym momencie tuż przed strzałem, dokładnie tak jak ostrzegł Cloud.
68	Przez zaśnieżoną górską przełęcz Tarkiru przedziera się ainok z klanu Temur — humanoidalny psi zwiadowca z wydłużonym pyskiem i świecącymi złotymi oczami węszącymi w zamieci. Jego gęste, piaskowo-szare futro pokryte cienką warstwą szronu, w dłoni-łapie długa włócznia tropiąca z kościanym grotem wystawiona do przodu. Na śniegu przed nim świeże odciski łap drapieżnika, a w oddali za zasłoną śniegu czają się sylwetki kolejnych wojowników Temur czekających za skalnym nawisem. Klan, który wierzy w instynkt smoków i wilków, nie wysyła ludzi tam, gdzie pies poczuje trop wcześniej — ten ainok jest parą oczu Surraka w zamarzniętej pustce.
69	W mrocznym zagraconym laboratorium Wielkiego Magistra Nauk Tajemnych, na ciężkim dębowym stole, leży otwarty wolumin o pożółkłych stronach. Mosiężna rękawica z ostrymi metalowymi rysikami na palcach agresywnie zdrapuje iluminowane litery z pergaminu, a pięć arkuszy właśnie rozpada się na strzępy i czarny pył wirując w powietrzu jak stado spłoszonych ptaków. Tusz rozmazuje się pod wpływem magicznej energii, zamieniając się w gęste czarne krople lewitujące nad blatem. Kolegium Światła wierzy, że niektóre księgi trzeba czytać uważnie, a inne rozłożyć na atomy, zanim ktoś inny zdąży je otworzyć — ta należy do drugiej kategorii.
